# "doi prefix" "# non-data doi" "# data doi"
10.1016 1532891 0
10.1038 478950 0
10.1007 395646 0
10.1002 336878 0
10.1111 325923 0
10.1093 319610 0
10.1097 223016 0
10.1186 197400 0
10.1073 185917 0
10.1126 136203 0
10.1128 127438 0
10.1371 118807 0
10.1074 104567 0
10.1021 100711 0
10.1136 98084 0
10.1046 96661 0
10.1080 88411 0
10.1006 81969 0
10.1001 78467 0
10.1056 66532 0
10.1086 60563 0
10.1146 56555 0
10.1161 52652 0
10.1037 51846 0
10.1158 50093 0
10.1177 49737 0
10.1098 49289 0
10.1101 49282 0
10.1023 47395 0
10.2307 44948 0
10.1210 37270 0
10.1017 35094 0
10.1159 34806 0
10.1523 34681 0
10.1152 34210 0
10.1089 33207 0
10.1083 30085 0
10.1053 27907 0
10.1182 25782 0
10.1242 25615 0
10.1084 25412 0
10.1172 24751 0
10.2337 24365 0
10.1200 22869 0
10.1063 21999 0
10.3109 19406 0
10.1104 19310 0
10.1109 19151 0
10.1099 17556 0
10.1121 17007 0
10.1103 16435 0
10.1088 16083 0
10.1039 15797 0
10.1055 15175 0
10.2174 14513 0
10.1364 14319 0
10.1378 13173 0
10.1105 13089 0
10.1042 12656 0
10.1542 11751 0
10.3389 11609 0
10.4161 11258 0
10.1034 11247 0
10.1067 10543 0
10.1164 9977 0
10.1162 9943 0
10.2105 9869 0
10.1176 9748 0
10.1139 9706 0
10.1124 9589 0
10.2165 9537 0
10.1212 8990 0
10.1091 8937 0
10.1534 8753 0
10.1118 8416 0
10.1590 7575 0
10.1183 7400 0
10.1167 7367 0
10.1113 7318 0
10.3201 7180 0
10.4049 7145 0
10.1302 7091 0
10.1117 6969 0
10.3758 6896 0
10.1148 6725 0
10.1890 6590 0
10.1207 6570 0
10.1095 6517 0
10.1192 6409 0
10.3171 6274 0
10.2106 6042 0
10.1029 5751 0
10.1096 5738 0
10.1054 5595 0
10.1258 5409 0
10.1634 5383 0
10.1094 5339 0
10.1530 5086 0
10.1196 4971 0
10.1517 4966 0
10.1677 4945 0
10.1359 4686 0
10.1529 4482 0
10.1071 4383 0
10.1586 4349 0
10.1249 4209 0
10.3354 4175 0
10.1085 4023 0
10.1079 4008 0
10.2196 3976 0
10.1155 3887 0
10.1385 3874 0
10.1081 3848 0
10.1163 3815 0
10.1191 3811 0
10.2353 3715 0
10.3390 3619 0
10.1261 3610 0
10.1289 3540 0
10.1377 3531 0
10.1681 3317 0
10.1189 3274 0
10.1515 3238 0
10.3322 3237 0
10.1107 3174 0
10.1373 3161 0
10.1603 3089 0
10.2217 2965 0
10.1051 2924 0
10.3945 2838 0
10.1245 2757 0
10.1194 2747 0
10.4103 2715 0
10.3168 2644 0
10.2741 2620 0
10.1248 2505 0
10.1110 2463 0
10.1227 2440 0
10.1165 2439 0
10.1213 2434 0
10.1203 2429 0
10.2214 2365 0
10.1300 2355 0
10.1179 2334 0
10.1214 2330 0
10.1197 2276 0
10.2471 2275 0
10.1142 2234 0
10.1068 2080 0
10.1145 2074 0
10.1078 1967 0
10.1353 1950 0
10.1271 1924 0
10.4088 1843 0
10.1115 1838 0
10.1348 1833 0
10.1503 1758 0
10.3748 1734 0
10.1521 1680 0
